ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
60,1.22e-08,1.48672,531441,8e+08,4.29517e-19,4.29517e-19,4.29352e-19,1.16089e-16,68921,1e+08,2.78239e-18,2.78239e-18,2.78239e-18,1.98994e-13,7.59403e-11,7.61394e-11
61,1.24e-08,1.50827,531441,8e+08,4.30416e-19,4.30428e-19,4.30493e-19,1.19994e-16,68921,1e+08,2.82875e-18,2.82875e-18,2.82875e-18,2.0566e-13,7.59336e-11,7.61394e-11
62,1.26e-08,1.53006,531441,8e+08,4.30701e-19,4.30713e-19,4.30778e-19,1.23965e-16,68921,1e+08,2.8751e-18,2.8751e-18,2.8751e-18,2.12436e-13,7.59268e-11,7.61393e-11
63,1.28e-08,1.5522,531441,8e+08,4.31583e-19,4.31607e-19,4.31879e-19,1.28002e-16,68921,1e+08,2.92146e-18,2.92146e-18,2.92146e-18,2.1932e-13,7.59199e-11,7.61393e-11
64,1.3e-08,1.57384,531441,8e+08,5.42708e-19,5.42684e-19,5.42331e-19,1.32104e-16,68921,1e+08,2.96782e-18,2.96782e-18,2.96782e-18,2.26312e-13,7.59129e-11,7.61393e-11
65,1.32e-08,1.59571,531441,8e+08,5.43639e-19,5.43627e-19,5.43533e-19,1.36247e-16,68921,1e+08,3.01417e-18,3.01417e-18,3.01417e-18,2.33413e-13,7.59057e-11,7.61393e-11
66,1.34e-08,1.61721,531441,8e+08,5.43924e-19,5.43912e-19,5.43818e-19,1.40455e-16,68921,1e+08,3.06053e-18,3.06053e-18,3.06053e-18,2.40623e-13,7.58985e-11,7.61393e-11
67,1.36e-08,1.6386,531441,8e+08,5.44805e-19,5.44804e-19,5.44918e-19,1.44729e-16,68921,1e+08,3.10688e-18,3.10688e-18,3.10688e-18,2.47941e-13,7.58912e-11,7.61393e-11
68,1.38e-08,1.66068,531441,8e+08,5.45554e-19,5.45531e-19,5.45313e-19,1.49069e-16,68921,1e+08,3.15323e-18,3.15323e-18,3.15323e-18,2.55367e-13,7.58837e-11,7.61393e-11
69,1.4e-08,1.68216,531441,8e+08,5.46435e-19,5.46423e-19,5.46426e-19,1.53475e-16,68921,1e+08,3.19958e-18,3.19958e-18,3.19958e-18,2.62902e-13,7.58762e-11,7.61392e-11
